scenario,query_number,query_work_id,query_subjects,relevance_mode,total_relevant,precision@10,recall@10,mrr@10,ndcg@10,relevant_found@10
keyword_only,1707,36d50e6b39c74d694a5d62c72a08e1c3ab583fce,78-01 82D80 78A55,top-level,131,0.1,0.007633587786259542,0.14285714285714285,0.07336392209936005,1
keyword_only,1708,147a99b19294e4c7796af8c0b046513b982b695c,47-02 47A70 47B25 47A10 47B40 78A30 46L05 81Q10 46L10,top-level,343,0.7,0.02040816326530612,1.0,0.800693766409882,7
keyword_only,1709,df2b58f26f1b50e568eb9841caae61240618db33,78-02 58K40 78A05 78A45,top-level,164,0.1,0.006097560975609756,0.25,0.09478836436955078,1
keyword_only,1710,4d61bdd47e73b001fd6657cf995ed41535c50e73,74A20 74F15 74-02 78-02 74A15 74F05,top-level,125,0.1,0.008,1.0,0.22009176629808017,1
keyword_only,1711,b8cbaa494e39c2817a0b8e7a60ae71b4876d7780,82-02 76-02 76W05 76X05 78A30 78A35 78A55 81V19 82D10 82D75,top-level,362,0.3,0.008287292817679558,1.0,0.3785988060390612,3
keyword_only,1712,ba14c9e1ef22f3efab5a076f00cca82deba7c662,35-02 65-02 31-02 41-02 42-02 44-02 45-02 46-02 47-02 81-02 76-02 78-02,top-level,863,0.1,0.0011587485515643105,0.1,0.06362078819895171,1
keyword_only,1713,04eddfa431a53a3d14997ba08850cb48451f8f96,35-01 35-02 35G25 35A05 35S10 32T99 78A05,top-level,341,0.6,0.017595307917888565,1.0,0.675416025555764,6
keyword_only,1714,5f0fed9afc2905674686bcc5701a04016445ec14,76-02 80A25 76B15 76V05 76N15 76L05,top-level,194,0.9,0.04639175257731959,1.0,0.9305687780632227,9
keyword_only,1715,6addef101393708c82caa4e97ee8605ebf27870e,76B10 76L05 80A20 81V35,top-level,312,0.3,0.009615384615384616,1.0,0.424926013816671,3
keyword_only,1716,10.1017/s0022112079001518,76T99 80A20,top-level,194,0.6,0.030927835051546393,1.0,0.6901935063354876,6
keyword_only,1717,10.1080/10407788708913594,76D10 80A20,top-level,194,0.7,0.03608247422680412,1.0,0.7315449642824575,7
keyword_only,1718,5df9078228b52a2897d9a002efda657e34325b2a,80-02 82B30 80A10 82B35 82C35 80A05 82-02,top-level,132,1.0,0.07575757575757576,1.0,1.0,10
keyword_only,1719,36ebabae3dab87f49d935983ca3cfa554f845ce2,65M20 65-02 65L06 65M06 65M60 92E20 80A32 80M25 65M12,top-level,316,0.9,0.028481012658227847,1.0,0.933745776545611,9
keyword_only,1720,10.1147/rd.53.0183,68M01 68Q01 80A20,top-level,183,0.6,0.03278688524590164,1.0,0.6840182226156365,6
keyword_only,1721,10.1103/revmodphys.61.41,80-02 01A60 80A20,top-level,278,0.8,0.02877697841726619,1.0,0.8482378089219645,8
keyword_only,1722,4b1739f549bf567d05105e337f99d017bcb0fd9d,76-01 76M99 80A20,top-level,194,0.2,0.010309278350515464,0.16666666666666666,0.14201905717762703,2
keyword_only,1723,10.1143/ptp.69.32,70K20 80A30 93D99 37D45,top-level,255,0.3,0.011764705882352941,1.0,0.40002324830925196,3
keyword_only,1724,67ed57ba5278325ea6004f3e2ddc82a09ff7c737,74A15 80-03 74-03 80A20 01A55 01A60,top-level,338,0.5,0.014792899408284023,1.0,0.576323354912681,5
keyword_only,1725,10.1016/0045-7825(87)90184-8,76N10 80A20 65Z05,top-level,358,0.9,0.025139664804469275,1.0,0.9266360779006401,9
keyword_only,1726,4766cbc432b2a4280ca3a727e6f1aae3f8437803,74E05 74-02 74J20 74A15 74E30 80A20,top-level,125,0.5,0.04,0.5,0.485813635742251,5
keyword_only,1727,efd23314353a00611e53e048746228431c654840,35A15 80A20 35J60,top-level,293,0.2,0.006825938566552901,0.16666666666666666,0.14465249243306436,2
keyword_only,1728,eb697b249adc43dcc5cba12d8fccf3f4a8f36dea,76-02 76S05 76R10 76R05 76E15 80A20 86A05,top-level,219,0.9,0.0410958904109589,1.0,0.9266360779006401,9
keyword_only,1729,10.1016/0045-7825(86)90152-0,76N10 80A20 76N15 76R99 65Z05,top-level,358,0.9,0.025139664804469275,1.0,0.9216017310213247,9
keyword_only,1730,10.1007/bf01210742,76L05 76M99 35Q99 65M06 65M12 80A25,top-level,498,0.7,0.014056224899598393,1.0,0.7257345305446319,7
keyword_only,1731,0801fd405cf90960b3db61865ea2eb99b42f59ba,74A15 80A20 74-02 35K05 80-01 74-01 80A17,top-level,338,0.2,0.005917159763313609,1.0,0.2863459897524692,2
keyword_only,1732,10.1098/rspa.1991.0012,74A15 74A20 80A20,top-level,125,0.0,0.0,0.0,0.0,0
keyword_only,1733,10.1023/a:1000775401646,76M35 76T99 86A05 80A22,top-level,219,1.0,0.045662100456621,1.0,1.0,10
keyword_only,1734,08e63f9aa2bb6d1dd2cca0d1603d2a049240318f,80A05 81P40,top-level,187,0.4,0.0213903743315508,1.0,0.5541432109622958,4
keyword_only,1735,10.1017/cbo9780511612701,76-02 80-02 76F99 80A25 76V05,top-level,194,0.6,0.030927835051546393,1.0,0.7059054020403313,6
keyword_only,1736,7ad4a3659f0df2c2ef2e2e575f0b5128f7af0854,74A15 76A99 80A17 80A05 80A10 74B99 74C99 74D99 74F10,top-level,233,0.6,0.02575107296137339,1.0,0.6555476069276601,6
keyword_only,1737,10.1016/0017-9310(85)90115-2,76M99 80A20,top-level,194,0.5,0.02577319587628866,1.0,0.5298982599625925,5
keyword_only,1738,10.1016/0045-7825(86)90127-1,76N10 80A20,top-level,194,0.9,0.04639175257731959,1.0,0.914856882358379,9
keyword_only,1739,86552bf573807c295f8ce0bcdb4eb72ccc64f482,76A02 80A05 76D05,top-level,194,0.3,0.015463917525773196,1.0,0.4690000933206748,3
keyword_only,1740,74d7f2ab46eb8870075bcb68ed6b15137f8f7326,74A15 80A05 74Axx,top-level,125,0.7,0.056,1.0,0.793584067764911,7
keyword_only,1741,058bd8bfa0ddaeef81dfeecb3e0124f4ed381842,76A02 80A05 80A30,top-level,194,0.9,0.04639175257731959,1.0,0.9266360779006401,9
keyword_only,1742,10.1090/s0273-0979-04-01032-8,35-02 35F20 35K10 80A17,top-level,293,1.0,0.034129692832764506,1.0,1.0,10
keyword_only,1743,85aab9bee39737c65251d4dfa104198586e3a5d4,01A70 01-02 80-03 82-03 01A75,top-level,344,0.3,0.00872093023255814,0.14285714285714285,0.2032389337527008,3
keyword_only,1744,10.1080/01495728308963086,76Rxx 76M99 80A20,top-level,194,0.8,0.041237113402061855,1.0,0.841492960259019,8
keyword_only,1745,10.1080/01495728308963087,76D10 80A20 76M99 76R10,top-level,194,0.9,0.04639175257731959,1.0,0.933745776545611,9
keyword_only,1746,10.1016/s0294-1449(16)30229-3,35J65 35K99 80A25,top-level,293,0.3,0.010238907849829351,0.2,0.23690530871965634,3
keyword_only,1747,10.1017/cbo9780511617546,82-01 37-02 37D35 01A75 82B30 82B05 37A60 37C30 37D20 80A10 80A05,top-level,438,0.6,0.0136986301369863,1.0,0.696162268139923,6
keyword_only,1748,10.1016/0045-7825(86)90110-6,76N10 80A20 65Z05 76R99,top-level,358,0.9,0.025139664804469275,1.0,0.933745776545611,9
keyword_only,1749,c816d93eae7681b75db963508853e571806cb23c,74A15 35R25 35R30 74-01 65Z05 62N99 80A23 80A20 80-01,top-level,542,0.2,0.0036900369003690036,0.5,0.22400556151517553,2
keyword_only,1750,d0cf5d3929c4e996e6c169ba5e21ed32be5ec046,74-02 74N30 35K60 35L50 35Q82 80A22,top-level,338,0.0,0.0,0.0,0.0,0
keyword_only,1751,c2a741f111d88ee5b499d25fe13fba578d7faa17,00A79 82-02 80-02 82C35 76A02 74A15 80A10 35Q80 35L65 82C40,top-level,527,0.3,0.0056925996204933585,1.0,0.4537425745411855,3
keyword_only,1752,10.1080/10407788808913646,76D10 76M99 80A20,top-level,194,1.0,0.05154639175257732,1.0,1.0,10
keyword_only,1753,10.1016/s0045-7825(02)00524-8,65N30 80M10 35J25 65N15 65N12 80A20,top-level,427,0.7,0.01639344262295082,1.0,0.7314470771099789,7
keyword_only,1754,aa270e69510d399a56dfc3acd98be110319675de,83-02 83C75 83C57 83C45 83C60 80A10,top-level,128,0.9,0.0703125,1.0,0.933745776545611,9
keyword_only,1755,10.1006/jcph.2000.6636,65M70 76M25 76T30 80A22 35K55 35R35 82C26 82D25,top-level,541,0.6,0.011090573012939002,1.0,0.6569815082938864,6
keyword_only,1756,10.1007/bf00250907,74A15 74Axx 80A05 76A05 74B10 74F05,top-level,233,0.0,0.0,0.0,0.0,0
keyword_only,1757,22a6b08fdfa33670ddad79e5743f7dd67e7a039a,35-02 35R05 65Z05 35K57 80A20,top-level,427,1.0,0.0234192037470726,1.0,1.0,10
keyword_only,1758,182fca592f26b2e8f3ac5af10aa4ed6a7776fc58,76Rxx 76-01 80A20 76S05,top-level,194,0.3,0.015463917525773196,0.5,0.3125291152215463,3
keyword_only,1759,10.1073/pnas.89.3.1090,39B22 39B12 80A05 80A99,top-level,80,0.0,0.0,0.0,0.0,0
keyword_only,1760,fb9bcf327480315f0e9ba746367ad9e2570336ed,35-01 35K05 35R30 80A20 35B10 35C05 35C10 35C15 35R25 35R35,top-level,293,1.0,0.034129692832764506,1.0,1.0,10
